name,address
Tacos & Naan,"ADRESSE: Ezzahra Résidence Ezzahra Centre Avenue Habib Bourguiba Grand Tunis Les coordonnées: 36.739555, 10.302413"
Baguette Avenue De Paris,"ADRESSE: Avenue de Paris, Tunis Tunis Les coordonnées: 36.80064, 10.181385"
Pomme De Pain,"ADRESSE: 17 Avenue Habib Bourguiba Tunis Les coordonnées: 36.800537, 10.185443"
Chez George,"ADRESSE: 7 rue Ali marmardun a coté institue francaise Tunis Les coordonnées: 36.801773, 10.181535"
L'ESCALE 47,"ADRESSE: 47 avenue jean jaures Centre Ville Grand Tunis Les coordonnées: 36.805698, 10.181939"
Bouhmid Sushi,"ADRESSE: 19 rue de Zaghouane, Hedi Chaker , Tunis Grand Tunis Les coordonnées: 36.812778, 10.17506"
Restaurant Diari,"ADRESSE: Lafyette 15 Rue du Koweit prés hôtel ibn khaldoun Tunis Les coordonnées: 36.813171, 10.180341"
Chez Basma,"ADRESSE: prés de CANAM Lafayette Tunis Les coordonnées: 36.813004, 10.175612"
Topkapi Daily Doste,"ADRESSE: avenue de la liberté, danc le centre derrière Shell Tunis Les coordonnées: 36.814095, 10.178754"
Voyage Culinaire,"ADRESSE: 15 Rue Aziza Othmana Mutuelleville, Aryanah, Tunisia Mutuelville Grand Tunis Les coordonnées: 36.837936, 10.169921"
One Way ( Ex- Megalo ),"ADRESSE: 61,avenue Alain Savary Tunis Tunis Les coordonnées: 36.8302, 10.186622"
Down Town,"ADRESSE: Avenue de france FRANCE VILLE prés lycée el omran Grand Tunis Les coordonnées: 36.817867, 10.168548"
Les Fans De La Pergola,"ADRESSE: Rue la nouvelle delhi, montplaisir Tunis Les coordonnées: 36.820423, 10.18465"
GRAINE DE SESAME,"ADRESSE: 04 bis rue claude bernard 1002 tunis a coté institut formation tunis ( IFT) Tunis Les coordonnées: 36.822105, 10.183618"
Baguette Bardo,"ADRESSE: Avenue Habib Bourguiba, Bardo Tunis Les coordonnées: 36.810894, 10.141719"
Le Medaillon,"ADRESSE: Bardo Avenue Habib Thameur Grand Tunis Les coordonnées: 36.808418, 10.136914"
Bon Bon,"ADRESSE: 174 Avenue Mustapha Khaznadar Tunis Grand Tunis Les coordonnées: 36.801594, 10.150274"
Mister Food,"ADRESSE: Bardo, Immeuble Tej, rez de chaussez Grand Tunis Les coordonnées: 36.810219, 10.137809"
MOONDO FOOD,"ADRESSE: Bardo 25 Avenue, Habib Bourguiba, a coté baguette et baguette Grand Tunis Les coordonnées: 36.810856, 10.141094"
Pizzeria Primavera,"ADRESSE: Bardo 84 rue d'orange Grand Tunis Les coordonnées: 36.811882, 10.138047"
Chili's Manar,"ADRESSE: Rue Azzouz Rebaï, Manar 2 Grand Tunis Les coordonnées: 36.835812, 10.15981"
Restaurant Midway's,"ADRESSE: Rue de la Nouvelle Delhi, Tunis Tunis Les coordonnées: 36.819855, 10.185206"
